Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Product_ID,Sub_Category,Category,Product_Name,MRP_per_unit,CostPrice_per_unit,Quantity,Discount
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Bookcases,Furniture,,261.96,220.0464,2,0
,2016-06-12,,,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Labels,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62,7.7486,2,0
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Tables,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775,1340.6085,5,0.45
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furnishings,Furniture,Eldon Expressions Wood and Plastic Desk Accessories Cherry Wood,48.86,34.6906,7,0
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Paper,Office Supplies,Xerox 1967,15.552,10.1088,3,0.2
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Binders,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976,275.3838,3,0.2
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Appliances,Office Supplies,Holmes Replacement Filter for HEPA Air Cleaner Very Large Room HEPA Filter,68.81,192.668,5,0.8
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Storage,Office Supplies,"Stur-D-Stor Shelving Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,652.5624,6,0
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Storage,Office Supplies,Fellowes Super Stor/Drawer,55.5,45.51,2,0
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Art,Office Supplies,Newell 341,8.56,6.0776,2,0
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Art,Office Supplies,Newell 318,19.46,14.4004,7,0
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Chairs,Furniture,Global Deluxe Stacking Chair Gray,71.372,72.3916,2,0.3
,2015-09-25,,,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Tables,Furniture,0,1044.63,804.3651,3,0
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Binders,Office Supplies,Wilson Jones Active Use Binders,11.648,7.4256,2,0.2
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Bookcases,Furniture,Riverside Palais Royal Lawyers Bookcase Royale Cherry Finish,3083.43,4748.4822,7,0.5
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Paper,Office Supplies,Easy-staple paper,29.472,19.5252,3,0.2
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Phones,Technology,GE 30524EE4,1097.544,974.0703,7,0.2
